rental_id,user_id,bike_id,start_station_id,end_station_id,start_time,end_time,duration_sec,distance_km,price,plan_type,channel,device_info,start_gps,end_gps,is_flagged
RNT000101,USR00061,BK0044,STN0033,STN0099,2026-02-17 01:12:58,2026-02-17 03:27:38,8080,13.925,123.03,payg,app,OnePlus 11,"12.933252,77.564579","12.966777,77.688387",False
RNT000102,USR00044,BK0006,STN0047,STN0054,2025-07-19 07:11:40,2025-07-19 09:44:11,9151,5.296,4973.61,annual,app,Android Tablet,"12.995874,77.644451","12.969803,77.685355",False
RNT000103,USR00050,BK0039,STN0047,STN0076,2026-02-19 03:40:37,2026-02-19 03:47:37,420,7.756,34.52,payg,kiosk,Web Browser,"12.996041,77.644555","12.963978,77.580988",True
RNT000104,USR00038,BK0085,STN0096,STN0011,2025-09-15 15:37:22,2025-09-15 15:52:42,920,1.211,545.53,monthly,kiosk,Kiosk Terminal,"12.963015,77.594341","12.966974,77.583927",True
RNT000105,USR00046,BK0081,STN0055,STN0067,2025-10-30 12:50:27,2025-10-30 13:27:45,2238,11.908,82.9,day_pass,app,iPhone 14,"12.992045,77.53169","13.003211,77.641002",False
RNT000106,USR00087,BK0019,STN0043,STN0044,2025-10-24 06:03:51,2025-10-24 07:56:44,6773,13.264,113.98,day_pass,kiosk,Kiosk Terminal,"12.927448,77.566919","12.962243,77.683993",False
RNT000107,USR00050,BK0028,STN0044,STN0096,2026-03-08 03:15:00,2026-03-08 03:58:36,2616,9.686,60.54,payg,app,Web Browser,"12.962049,77.683854","12.96345,77.594482",False
RNT000108,USR00061,BK0043,STN0058,STN0096,2025-06-21 11:47:09,2025-06-21 14:40:36,10407,4.182,686.47,monthly,kiosk,Pixel 7,"12.937015,77.567193","12.963687,77.594395",False
RNT000109,USR00093,BK0090,STN0096,STN0081,2025-03-18 06:37:31,2025-03-18 07:36:25,3534,1.866,36.91,payg,app,Xiaomi 13,"12.963405,77.593913","12.977492,77.584561",False
RNT000110,USR00013,BK0039,STN0046,STN0073,2025-04-29 08:50:52,2025-04-29 11:30:18,9566,7.249,108.49,day_pass,app,Xiaomi 13,"12.984538,77.579068","12.920419,77.591159",False
RNT000111,USR00074,BK0052,STN0052,STN0019,2025-12-26 12:07:08,2025-12-26 14:13:44,7596,7.863,671.74,monthly,kiosk,Kiosk Terminal,"13.02355,77.644075","12.966721,77.687262",False
RNT000112,USR00023,BK0040,STN0039,STN0093,2026-01-29 22:29:20,2026-01-29 22:30:31,71,14.446,58.38,payg,kiosk,iPhone 14,"12.965343,77.712897","12.9156,77.589754",True
RNT000113,USR00092,BK0091,STN0098,STN0021,2025-04-14 23:43:39,2025-04-15 01:55:32,7913,4.834,85.28,payg,kiosk,Xiaomi 13,"12.934295,77.583271","12.977656,77.580105",False
RNT000114,USR00029,BK0027,STN0067,STN0024,2026-01-11 13:09:24,2026-01-11 13:10:46,82,7.532,30.81,payg,app,Pixel 7,"13.002738,77.640705","12.954036,77.689023",True
RNT000115,USR00089,BK0074,STN0055,STN0071,2025-09-09 17:07:24,2025-09-09 17:40:35,1991,8.415,4347.7,annual,app,iPhone 14,"12.991937,77.531886","12.966341,77.604973",False
RNT000116,USR00066,BK0074,STN0088,STN0098,2024-10-08 13:22:28,2024-10-08 14:38:00,4532,0.666,663.45,monthly,app,Kiosk Terminal,"12.93409,77.589445","12.934414,77.58331",False
RNT000117,USR00084,BK0001,STN0075,STN0019,2024-10-23 07:55:02,2024-10-23 08:10:33,931,16.449,104.08,day_pass,kiosk,OnePlus 11,"13.004429,77.54006","12.966698,77.686846",False
RNT000118,USR00071,BK0068,STN0016,STN0072,2024-11-16 12:12:00,2024-11-16 12:45:46,2026,4.186,525.58,monthly,kiosk,Pixel 7,"12.985544,77.600019","13.005783,77.632596",False
RNT000119,USR00088,BK0006,STN0084,STN0020,2024-10-26 01:47:18,2024-10-26 02:16:52,1774,16.704,81.6,payg,app,Samsung Galaxy S23,"12.964048,77.689517","12.974694,77.535749",False
RNT000120,USR00039,BK0087,STN0090,STN0071,2024-10-17 13:26:57,2024-10-17 14:01:54,2097,8.004,536.38,monthly,app,Pixel 7,"12.975072,77.532169","12.966304,77.605488",False
